Loci,Epistasis,Polymorphism,Shannon Diversity,Nucleotide Diversity,Slope,Invasion Genotypes: Pareto,Invasion Genotypes: Interp
9,1,False,1.2807223217513835e-06,7.19985243280375e-08,24218.25833635494,0.0,0.0
9,1,False,8.103478191037963e-09,3.5610617469730866e-10,51723.19810800216,0.0,0.0
9,1,True,0.6479332422717576,0.2277358588428469,37256.33977359992,1.0,0.0
9,1,False,6.711947901686546e-08,3.1585523596452505e-09,19523.870869590686,0.0,0.0
9,1,False,1.9493415582090777e-06,1.1480170039407526e-07,27871.763404581667,0.0,0.0
9,1,True,0.5997344499260041,0.1934457600803684,30122.862535808297,1.0,0.0
9,1,False,2.9989997688964137e-06,1.8151590229969858e-07,26007.764392491707,0.0,1.0
9,1,False,2.3493524475720525e-06,1.398085268510116e-07,47916.4718836773,0.0,1.0
9,1,False,6.503204089538705e-15,1.7621537354158648e-16,42013.92737775033,0.0,1.0
9,1,False,1.9895827799715057e-09,8.148418826530681e-11,8893.277752474152,0.0,1.0
9,1,True,0.5886751912939485,0.19961012388329308,31457.126135257724,1.0,0.0
9,1,False,3.3129476695898737e-10,1.2698370501002026e-11,33086.505595774695,0.0,0.0
9,1,False,0.08911449116331313,0.05228040881772355,40613.83817523566,1.0,1.0
9,1,True,0.5154888155909232,0.1665711391893109,66660.94187809154,1.0,1.0
9,1,True,0.5446550544413886,0.1795070099981005,27209.207397603088,3.0,3.0
9,1,True,0.6886785687990103,0.24776898547833906,41866.48790779294,4.0,2.0
9,1,False,6.713328077034512e-18,1.5500341502135412e-19,30104.668241359574,0.0,0.0
9,1,True,0.6104551184811797,0.20980685785363856,10104.675478498377,5.0,1.0
9,1,False,1.750176010967043e-09,7.185078085907341e-11,43681.57299745092,0.0,0.0
9,1,False,8.289281974092458e-09,3.6412688823491725e-10,39325.46705432345,0.0,0.0
9,1,False,5.0494679070589034e-09,2.171786030110159e-10,25530.189139322883,0.0,0.0
9,1,True,0.6893791258021508,0.24811666796227608,20237.104447231108,4.0,24.0
9,1,True,0.6541450732709857,0.23075382371517936,55852.77913736978,1.0,0.0
9,1,False,7.763529781776384e-11,2.813206267287083e-12,8081.243979107374,0.0,3.0
9,1,True,0.6015505904206874,0.20561810655041735,32524.375361136634,1.0,0.0
9,1,False,4.00168889304669e-09,1.6528885729208653e-10,51151.20654506268,0.0,0.0
9,1,False,2.5653442448935627e-13,7.65691172634729e-15,43118.58051986202,0.0,0.0
9,1,True,0.5583872880313303,0.1857060139072583,38709.81761144963,1.0,0.0
9,1,True,0.5076943144324785,0.1631657156925687,19763.361775166843,2.0,79.0
9,1,False,4.965621474419532e-10,1.888462339630578e-11,54334.85879125503,0.0,1.0
9,1,False,6.439692441057977e-07,3.546588469478477e-08,25512.877584089998,0.0,1.0
9,1,True,0.41591485300687236,0.1247671330976074,38607.5676406741,1.0,0.0
9,1,True,0.4752598269520628,0.14923464561775646,23302.60689303918,1.0,0.0
9,1,False,4.655810281459318e-21,9.174601265877879e-23,42959.5638222326,0.0,0.0
9,1,True,0.6556071217833762,0.23146397607305316,35104.37395060439,2.0,0.0
9,1,False,9.470345373265956e-08,4.693618923528982e-09,24485.185012631304,0.0,0.0
9,1,False,2.0417358390955157e-11,7.045038708693704e-13,25929.309848188946,0.0,2.0
9,1,False,2.893722952825537e-07,1.522933845322831e-08,44536.6572808612,0.0,0.0
9,1,False,0.0006504800642041968,6.0716209235899175e-05,26566.055983408332,0.0,0.0
9,1,False,7.00922108319652e-15,1.874208917645643e-16,16962.561806586025,0.0,0.0
9,1,False,1.0310013467591416e-12,3.2127406155957307e-14,36781.662292364315,0.0,0.0
9,1,False,4.694798809449096e-20,9.702750637287486e-22,39245.23269394814,0.0,0.0
9,1,True,0.6664206816573739,0.44648382039585666,54.40695117613073,2.0,147.0
9,1,False,2.2398449190670198e-07,1.162332838574272e-08,28378.29840777396,0.0,0.0
9,1,True,0.6745031359096114,0.722186789815154,13439.036417145515,3.0,0.0
9,1,True,0.6477331850979363,0.4552777605406266,63302.76331112976,1.0,0.0
9,1,False,1.2301595611073425e-09,4.9755899234970006e-11,44472.43800902954,0.0,0.0
9,1,False,4.0866788057617275e-08,1.940191905193614e-09,44043.167299492656,0.0,0.0
9,1,False,2.2084507142828437e-24,3.772584869481289e-26,35144.55061824216,0.0,0.0
9,1,False,3.31346473551149e-17,7.950558350232829e-19,44578.95575229913,0.0,0.0
9,1,False,1.762398729800112e-05,1.136971632669176e-06,19454.236085677665,0.0,1.0
9,1,False,1.7860746943954883e-21,3.446944399544195e-23,42914.93616137889,0.0,0.0
9,1,True,0.6596374157483509,0.23343311572967668,46676.240665032725,2.0,0.0
9,1,True,0.5819786010093956,0.19650816193587736,18872.61352390938,1.0,0.0
9,1,True,0.530208941273546,0.17306249991101516,46426.16934673743,1.0,1.0
9,1,True,0.6917877020019372,0.24932056865785,25237.999582391007,1.0,0.0
9,1,True,0.5659517563063106,0.1891483048068561,35426.63487488761,1.0,0.0
9,1,False,1.582153989075537e-11,5.365406391597046e-13,35748.71212540758,0.0,0.0
9,1,False,0.0016850403482168595,0.0001668135046290773,38720.62384879634,1.0,1.0
9,1,False,1.898756143571983e-11,6.534706034932253e-13,36017.26158418953,0.0,0.0
9,1,False,9.909242094682754e-12,3.333075156298268e-13,36292.934566338656,0.0,0.0
9,1,True,0.1488165503893144,0.03296485479286031,28167.612997050455,1.0,0.0
